CustomerID,Recommendations
C0001,"[('C0107', 0.9998367091019764), ('C0174', 0.9995076487423399), ('C0011', 0.999469058931619)]"
C0002,"[('C0175', 0.9983961640123452), ('C0142', 0.9978219713344021), ('C0084', 0.9972865981611252)]"
C0003,"[('C0174', 0.995461618326419), ('C0001', 0.9947015028383681), ('C0031', 0.9944687672699102)]"
C0004,"[('C0099', 0.9963977129438614), ('C0087', 0.995150161081633), ('C0160', 0.99486497012966)]"
C0005,"[('C0145', 0.99970587061434), ('C0186', 0.9987319683776421), ('C0159', 0.9982807822542753)]"
C0006,"[('C0158', 0.9970790523954476), ('C0187', 0.9964054167876268), ('C0011', 0.9960403036466788)]"
C0007,"[('C0054', 0.9983036910366812), ('C0159', 0.9963112254628297), ('C0115', 0.9962724059928738)]"
C0008,"[('C0127', 0.9922617036726405), ('C0172', 0.9919503950869772), ('C0098', 0.9893872140567991)]"
C0009,"[('C0118', 0.994248733979371), ('C0184', 0.9929328034000091), ('C0157', 0.9891943283961644)]"
C0010,"[('C0034', 0.9916893394742793), ('C0199', 0.9906425025870184), ('C0109', 0.9885641020319074)]"
C0011,"[('C0107', 0.9997318464788634), ('C0001', 0.999469058931619), ('C0174', 0.9982373263588908)]"
C0012,"[('C0148', 0.9973299852147007), ('C0195', 0.9969312811880754), ('C0013', 0.9967919661270895)]"
C0013,"[('C0155', 0.9992770740122501), ('C0108', 0.9973525305751657), ('C0099', 0.9973011722686843)]"
C0014,"[('C0020', 0.9986820457051626), ('C0151', 0.998584405548984), ('C0130', 0.9977905817039685)]"
C0015,"[('C0085', 0.9902249731805575), ('C0095', 0.9891268178214617), ('C0129', 0.9884948594777735)]"
C0016,"[('C0061', 0.9993889393690059), ('C0183', 0.9985348230823708), ('C0102', 0.9935439798554581)]"
C0017,"[('C0075', 0.9930615612081718), ('C0041', 0.9928952327735746), ('C0051', 0.9911431189598587)]"
C0018,"[('C0073', 0.998127177498114), ('C0082', 0.9980706843083802), ('C0197', 0.9973460159624358)]"
C0019,"[('C0069', 0.9890652927123561), ('C0049', 0.9834386790829931), ('C0139', 0.9813679045421918)]"
C0020,"[('C0014', 0.9986820457051626), ('C0130', 0.9955801011297614), ('C0150', 0.9954416451254345)]"
